MCES	Nonconformity	Ion Type
10.62	-0.1135406494140625	[M-H]-
9.414	-2.284274291992176	[M-H]-
9.87	-1.6999786376953239	[M+H]+
9.95	-2.5448425292968864	[M-H]-
10.64	-3.136270141601557	[M+H]+
10.64	3.271653747558588	[M-H]-
10.805	2.1211654663085966	[M-H]-
9.81	6.495912170410151	[M-H]-
12.69	8.041287706738288	[M+H]+
9.83	-4.009936523437489	[M+H]+
11.69	9.940567016601562	[M-H]-
10.75	-3.431912231445324	[M-H]-
8.4	-10.080615234374989	[M-H]-
9.94	0.44678955078126137	[M-H]-
11.67	0.14537200927733807	[M-H]-
12.74	11.747090148925778	[M-H]-
9.945	-3.182965087890622	[M+H]+
10.12	-10.988690185546886	[M+Na]+
10.055	-1.0656860351562614	[M-H]-
9.72	2.7063476562499886	[M-H]-
10.74	6.160104370117182	[M-H]-
10.11	-5.468298339843756	[M-H]-
10.76	6.552015686035162	[M-H]-
10.37	6.700888061523443	[M+H]+
10.58	1.0412872314453239	[M+Na]+
9.4	-0.4594207763671818	[M+H]+
9.4	-2.4119018554687557	[M-H]-
9.164	-1.430084228515625	[M-H]-
10.555	-3.312631225585932	[M+H]+
13.92	9.921708679199213	[M-H]-
9.33	-4.135580444335943	[M-H]-
9.76	-5.994024658203131	[M-H]-
9.695	-5.053790283203114	[M-H]-
9.76	-6.639370727539074	[M-H]-
9.76	-6.519497680664074	[M-H]-
9.67	-7.989816284179682	[M-H]-
10.49	4.62957763671875	[M+H]+
10.49	-5.518701171874994	[M-H]-
9.17	0.7064270019531307	[M+Na]+
9.17	-8.137411499023443	[M+H]+
9.17	0.380828857421875	[M-H]-
10.27	-0.5324951171874943	[M+Na]+
10.27	8.209613037109364	[M+H]+
10.27	0.149871826171875	[M-H]-
10.19	-7.929180908203136	[M+H]+
10.81	-3.0904266357421903	[M+H]+
10.97	-1.8268234252929716	[M+H]+
9.78	-1.3035430908203125	[M+H]+
10.05	3.8538330078125114	[M+H]+
10.805	1.1328079223632699	[M-H]-
9.56	1.9378723144531307	[M-H]-
10.4	3.9761550903320284	[M-H]-
9.95	-6.818212890625006	[M+Na]+
9.95	-3.7941406250000114	[M+H]+
9.95	-1.6221984863281307	[M-H]-
10.87	6.781280517578125	[M+Na]+
10.22	5.789099121093756	[M-H]-
9.74	6.728723144531244	[M+H]+
10.914	-4.430181884765631	[M+H]+
10.914	2.6993225097656364	[M+Na]+
9.85	4.842019653320307	[M+H]+
10.78	5.029382324218744	[M+Na]+
9.086	5.603473950976564	[M+H]+
9.52	0.9666656494140682	[M-H]-
9.28	4.186822509765619	[M+Na]+
9.83	-2.7631164550781193	[M+H]+
11.336	-1.0723022460937557	[M+H]+
9.086	4.214768981933588	[M-H]-
9.5	4.944361877441395	[M-H]-
10.87	-0.08563537597655113	[M-H]-
11.35	49.10216674804687	[M+Na]+
10.0	11.356900024414074	[M+H]+
10.0	-3.6521972656250057	[M-H]-
11.25	3.638671875	[M-H]-
9.11	14.4161392211914	[M-H]-
9.24	-12.45092163085937	[M-H]-
11.19	6.318304443359381	[M-H]-
9.31	-1.9242980957031364	[M-H]-
9.33	-12.755001831054699	[M-H]-
10.0	-5.638192749023432	[M+H]+
9.52	3.5196731567382784	[M-H]-
11.305	-5.153750610351551	[M+Na]+
11.305	-22.273089599609364	[M+H]+
10.92	-3.4756713867187443	[M+Na]+
10.92	-14.103979492187506	[M+H]+
10.914	-3.4206481933593693	[M+Na]+
9.8	-2.747772216796875	[M+Na]+
9.8	-3.0282531738281193	[M+H]+
10.1	-5.437731933593739	[M-H]-
10.0	-2.1351806640624886	[M+Na]+
10.0	1.0158233642578125	[M-H]-
10.31	4.357537841796869	[M+Na]+
10.31	-0.94891357421875	[M+H]+
10.31	17.421731567382807	[M-H]-
9.65	-2.238320922851557	[M+H]+
11.51	-4.926657104492193	[M+H]+
10.39	-0.20146026611328693	[M+H]+
9.06	7.539488220214849	[M-H]-
8.695	-3.467742919921875	[M+H]+
10.75	3.306021118164068	[M-H]-
9.56	-3.5504333496093636	[M-H]-
11.7	16.58002014160155	[M+H]+
11.7	8.73822631835938	[M+Na]+
9.88	-2.600747680664057	[M+H]+
8.67	1.2631011962890568	[M-H]-
